<blank> 0
<unk> 1
<s> 2
</s> 3
Republic_of_China 163 25
Weng_Yueh-sheng 164 2
Guatemalan 165 10
Carlos_Larios 166 1
Weng 167 1
Larios 168 2
Taipei 169 50
Chen_Shui-bian 170 36
Aug. 171 3
15 172 106
George_W._Bush 173 568
days 174 307
American 175 346
Bush 176 575
Bradley_Wiggins 177 1
Jenning_Huizenga 178 1
Huizenga 179 1
Wiggins 180 1
Alexei_Markov 181 1
New_Zealand 182 56
Hayden_Roulston 183 1
Australian 184 210
Brad_McGee 185 1
Luke_Roberts 186 1
Phillip_Thuaux 187 1
Roy_Keane 188 5
Ireland 189 71
World_Cup 190 249
Manchester_United 191 36
Steve_McClaren 192 3
England 193 170
Roy 194 2
McClaren 195 2
Keane 196 10
Irish 197 69
Mick_McCarthy 198 4
Palestinian_state 199 33
Ehud_Barak 200 18
Barak 201 13
America 202 57
Paris_Air_Show 203 2
Le_Bourget 204 2
Slobodan_Milosevic 205 24
three 206 372
Serbian_Socialist_Party 207 1
SPS 208 1
Borisav_Jovic 209 1
Mihajlo_Markovic 210 1
Milorad_Vucelic 211 1
Milosevic 212 18
Jovic 213 1
Markovic 214 1
Communist_League 215 1
Yugoslav 216 24
Josip_Broz_Tito 217 1
Palestinian 218 729
Middle_East 219 302
Kim_Young-Sam 220 19
Hanoi 221 17
South_Korean 222 101
Vietnamese 223 35
Kim 224 48
Communist_Party 225 30
Do_Muoi 226 3
Muoi 227 1
Le_Duc_Anh 228 3
1998 229 40
Group_of_Seven 230 28
Birmingham 231 13
British 232 328
John_Major 233 28
Saturday 234 1016
UK 235 20
London 236 158
Major 237 33
Conservative_Party 238 6
June 239 283
20-22 240 1
Denver 241 2
Colorado 242 6
Baghdad 243 157
William_Fallon 244 3
Michael_Street 245 1
Fallon 246 3
Iran 247 566
Netherlands 248 43
Bosnia 249 94
Security_Council 250 28
United_Nations 251 160
Dutch 252 68
Gao_Zhisheng 253 1
New_York-based_Human_Rights 254 1
Radio_Free_Asia 255 1
Gao 256 3
Yasser_Arafat 257 280
Maltese 258 3
Arafat 259 267
Levy 260 12
Alfred_Sant 261 1
Sant 262 1
Sergei_Dubinin 263 1
Central_Bank 264 6
The_State 265 1
344 266 1
Dubinin 267 4
226 268 2
Boris_Yeltsin 269 152
Tatyana_Paramonova 270 1
Alexander_Khandruyev 271 1
Paramonova 272 3
Yasushi_Akashi 273 7
Friday 274 1556
Croatian 275 54
Split 276 3
Alija_Izetbegovic 277 17
Akashi 278 6
Vice-President 279 9
Ejup_Ganic 280 4
Kresimir_Zubak 281 4
Zenica 282 2
Bihac 283 8
Izetbegovic 284 9
Morocco 285 53
Islamic_States 286 1
Casablanca 287 8
British_Conservative 288 1
Labour_Party 289 14
Neil_Kinnock 290 1
European 291 256
Brussels 292 72
Kinnock 293 2
Leon_Brittan 294 2
Glenys 295 1
Strasbourg 296 10
African 297 102
Niger 298 9
Ariel_Sharon 299 137
90 300 24
percent 301 123
1973 302 9
Sharon 303 119
Barack_Obama 304 297
3,000 305 19
30,000 306 13
Afghanistan 307 308
Robert_Gates 308 40
Obama 309 283
Gates 310 38
Senate_Foreign_Relations_Committee 311 3
UN_assembly 312 3
William_Cohen 313 7
William_Perry 314 26
Cohen 315 6
John_White 316 1
Perry 317 27
Joint_Chiefs_of_Staff 318 6
John_Shalikashvili 319 5
Nicolas_Sarkozy 320 153
Polish 321 158
Lech_Kaczynski 322 21
Europe 323 222
Sarkozy 324 126
Lisbon_Treaty 325 8
2007 326 34
27 327 64
Lebanon 328 190
Fuad_Siniora 329 4
Lebanese 330 140
Ehud_Olmert 331 46
Iranian 332 353
Siniora 333 4
Moscow 334 377
Black_Sea 335 19
Sochi 336 21
Chechnya 337 91
Kremlin_press_service 338 13
Federal_Security_Service 339 1
Nikolai_Patrushev 340 1
Rashid_Nurgaliyev 341 1
Kremlin 342 136
Spain 343 251
Northern_Ireland 344 34
2002 345 57
Spanish 346 240
Football_Federation 347 7
13 348 50
Jose_Antonio_Camacho 349 2
Rotterdam 350 3
April 351 187
Belfast 352 10
Baltic_States 353 2
Yeltsin 354 141
1940 355 6
Estonia 356 23
Latvia 357 14
Switzerland 358 95
Martina_Hingis 359 5
Monica_Seles 360 3
South_Africa 361 105
Amanda_Coetzer 362 1
WTA 363 13
Rome 364 89
Hingis 365 3
Seles 366 4
South_African 367 80
Slovakia 368 18
Janette_Husarova 369 3
Emannuelle_Gagliardi 370 1
Gala_Leon_Garcia 371 2
33 372 23
Virginia 373 8
Mohammad_Ali_Hosseini 374 1
The_United_States 375 156
1980 376 15
Tehran 377 147
Amy_Huang 378 6
The_Japan_Times 379 29
Horie 380 2
Kamei 381 2
Hiroshima 382 2
Livedoor_Co. 383 2
Takafumi_Horie 384 2
Shizuka_Kamei 385 2
Junichiro_Koizumi 386 44
Sept. 387 5
11 388 103
Hungarian 389 36
Viktor_Orban 390 4
Zagreb 391 16
Ivica_Racan 392 3
Stipe_Mesic 393 8
Racan 394 3
Orban 395 4
Hungary 396 32
Rijeka 397 2
Mark_Viduka 398 1
Football_Association 399 10
Elland_Road 400 4
Viduka 401 1
Martin_Keown 402 1
30th 403 9
1-1 404 7
Mark_Halsey 405 1
Keown 406 1
Toulon 407 6
Karena_Wihongi 408 1
Dean_Schofield 409 1
14 410 84
Wihongi 411 1
Schofield 412 1
fourth 413 85
Philippe_Saint-Andre 414 3
Sebastien_Bruno 415 2
Juan_Martin_Fernandez_Lobbe 416 1
Rory_Lamont 417 1
Japan 418 578
Jumbo_Ozaki 419 1
US_Open 420 16
Ozaki 421 2
50 422 60
Jack_Nicklaus 423 1
12-15 424 4
Congressional_Country_Club 425 1
eight 426 87
Japanese 427 427
PGA_Tour 428 1
Jose_Luis_Rodriguez_Zapatero 429 21
Greece 430 95
RAC 431 2
1 432 114
Zapatero 433 13
Serbian 434 45
Thorvald_Stoltenberg 435 2
Yugoslav_Tanjug 436 1
Stoltenberg 437 2
Yugoslavia 438 56
Belgrade 439 36
Budapest 440 11
Commercial_Bank 441 1
Romania 442 71
Bela_Singlovics 443 1
five 444 147
million 445 208
Bucharest 446 29
Singlovics 447 1
99.9 448 1
Romanian 449 68
Germany 450 460
Party_for_Democratic_Socialism 451 1
PDS 452 2
Hanno_Harnisch 453 1
43 454 12
East_German 455 2
Harnisch 456 1
West_German 457 1
German 458 548
Taiwan 459 177
Philippine 460 38
Edgar_Mendoza 461 1
Yang_Yuping 462 1
37 463 14
Hsinchu 464 1
Taiwanese 465 45
Mendoza 466 1
Yang 467 14
Jordanian 468 114
Marwan_Moasher 469 15
Moasher 470 14
Paul_Bremer 471 18
Washington 472 360
Edward_Han 473 1
Eva_Chen 474 1
Jiang_Zemin 475 88
Jiang 476 47
Ukrainian 477 145
National_Bank_of_Ukraine 478 1
ITAR-TASS 479 32
Viktor_Bojenar 480 1
Grigory_Omelchenko 481 1
Bojenar 482 1
Alexander_Moroz 483 1
Moroz 484 1
John_McCain 485 15
2009 486 32
Americans 487 56
McCain 488 15
Nobel_committee 489 6
Boutros_Boutros-Ghali 490 25
Boutros-Ghali 491 23
Ottawa 492 35
Canadian 493 178
Jean_Chretien 494 41
Carleton_University 495 1
US_State_Department 496 21
Ayman_Nur 497 2
Ian_Kelly 498 5
Cairo 499 107
Nur 500 1
Anatoly_Chubais 501 7
Nicholas_Burns 502 16
Chubais 503 6
Burns 504 17
months 505 163
Eduardo_Serra 506 1
Serra 507 1
NATO 508 233
Jose_Maria_Aznar 509 39
Felipe_Gonzalez 510 5
Condoleezza_Rice 511 30
Rice 512 17
Jericho 513 15
Mahmud_Abbas 514 103
Abu_Mazen 515 4
Hu_Jintao 516 90
Tibet 517 29
Hu 518 77
Kevin_Rudd 519 11
Mike_Catt 520 1
Twickenham 521 12
Tim_Stimpson 522 1
Adedayo_Adebayo 523 1
Phil_de_Glanville 524 1
Stimpson 525 1
Adebayo 526 1
de_Glanville 527 1
Mexican 528 60
Mexico 529 90
California 530 32
Saad_Murad 531 1
8,000 532 3
Puerto_Vallarta 533 1
Fatah_Revolutionary_Council 534 1
January 535 217
Abbas 536 100
Palestine_Liberation_Organisation 537 11
PLO 538 73
Fatah_central_committee 539 3
Revolutionary_Council 540 1
West_Bank_city 541 13
Ramallah 542 68
Somali_pirates 543 3
Philippines 544 80
Greek 545 111
Gulf_of_Aden 546 4
Saint_Vincent_and_the_Grenadines 547 2
Piraeus 548 2
ninth 549 17
Indian_Ocean 550 13
Afghan 551 189
Mohammad_Zahir 552 1
Rangeen_Dadfar_Spanta 553 1
July 554 254
2011 555 14
Todd_Martin 556 3
eighth 557 19
Jean-Philippe_Fleurian 558 1
6-4 559 25
6-2 560 31
6-3 561 30
second 562 406
Martin 563 24
Vincent_Spadea 564 1
Austria 565 45
Felix_Gottwald 566 4
Ronny_Ackermann 567 2
Gottwald 568 5
7.5 569 4
Ackermann 570 3
133 571 2
metres 572 11
Bjoern_Kircheisen 573 1
Mohammad_Furuzandeh 574 1
Syrian 575 93
SANA 576 10
Furuzandeh 577 1
Damascus 578 39
Mustafa_Tlass 579 4
30 580 117
Syria 581 112
nine 582 49
Shiite_Moslem 583 4
Venezuelan 584 68
Hugo_Chavez 585 45
Juan_Carlos 586 25
Chile 587 63
Chavez 588 49
Ibero-American 589 1
Summit 590 10
Colombia 591 86
Luis_Hernando_Gomez_Bustamante 592 1
Gomez_Bustamante 593 1
Norte_del_Valle 594 1
2 595 50
Colombian 596 102
Jorge_Daniel_Castro 597 1
Cuban 598 110
Suleyman_Demirel 599 21
Kazakhstan 600 32
Soviet_republic 601 8
Demirel 602 24
Abish_Kikilbayev 603 1
Kazakh 604 15
Nursultan_Nazarbayev 605 7
Ankara 606 64
Almaty 607 6
Nazarbayev 608 3
Icelandic 609 6
Olafur_Ragnar_Grimsson 610 2
US_Justice_Department 611 5
Benon_Sevan 612 2
UN_Iraq 613 2
Ephraim_Nadler 614 2
Sevan 615 2
160,000 616 2
Nadler 617 2
EU_states 618 3
Christine_Lagarde 619 8
Wolfgang_Schaeuble 620 3
Paris 621 253
Chiang_Chung-Ling 622 1
Warsaw 623 25
Czech_Republic 624 48
Chiang 625 9
Czech 626 68
Italy 627 326
524 628 2
556 629 1
Mozambique 630 10
Italian 631 377
Mozambican 632 2
Alberto_Chissano 633 1
Silvio_Berlusconi 634 82
Chissano 635 2
UN_Food_and_Agriculture_Organisation 636 2
Philippe_Euverte 637 1
Polynesia 638 1
Paul_Vericel 639 1
Euverte 640 1
Vericel 641 1
Banca_Intesa 642 3
Credit_Agricole 643 4
Uruguay 644 18
83 645 10
Uruguayan 646 16
Nigeria 647 40
Umaru_Yar 648 8
Goodluck_Jonathan 649 3
Jonathan 650 3
The_Moscow_Times 651 28
U.S. 652 71
George_Bush 653 18
Sergei_Lavrov 654 42
Chang_Hung-kuang 655 12
Heathrow 656 3
Prince_Charles 657 11
Buckingham_Palace 658 7
Air_Force_One 659 17
Channel_Four 660 1
World_Trade_Organisation 661 11
WTO 662 33
Likud_party 663 12
Fifty-nine 664 1
2,600 665 2
Likud_central_committee 666 2
23 667 69
300 668 19
Abdulkadir_Aksu 669 1
NTV 670 14
Istanbul 671 23
Aksu 672 1
Anatolia_news_agency 673 32
Misgav_Am 674 2
Israel-Lebanon 675 2
Adaysseh 676 1
David_Giffin 677 1
Sydney 678 25
Giffin 679 2
Dan_Vickerman 680 1
Eddie_Jones 681 2
Jones 682 12
All_Blacks 683 8
hours 684 159
Sergei_Ryabkov 685 4
ITAR-TASS_news_agency 686 41
Javier_Solana 687 39
Solana 688 36
Leonid_Kuchma 689 42
Viktor_Yanukovich 690 10
Viktor_Yushchenko 691 30
Hoshyar_Zebari 692 9
Ali_Babacan 693 6
Zebari 694 8
Babacan 695 4
Wang_Yi 696 1
Koizumi 697 33
Asia 698 64
Yasukuni_Shrine 699 6
Tokyo 700 109
Gerhard_Schroeder 701 76
Rudi_Voller 702 8
Schroeder 703 50
Brazil 704 121
Voller 705 3
Sapporo 706 2
Malaysian 707 27
Mahathir_Mohamad 708 9
Abdullah_Badawi 709 2
Abdullah 710 13
United_Malays_National_Organisation 711 2
UMNO 712 2
Mahathir 713 8
Romano_Prodi 714 32
ANSA 715 15
Prodi 716 27
EU_commission 717 1
2004 718 53
24 719 94
4,000 720 8
Sri_Lanka 721 30
Chandrika_Kumaratunga 722 5
Ratnapura 723 1
265 724 1
Downing_Street 725 28
Camp_David 726 12
Spaniard 727 22
Albert_Contador 728 1
Astana 729 3
Emanuele_Sella 730 3
CSF 731 2
15th 732 11
Sella 733 5
Contador 734 1
Arabba 735 1
Passo_Fedaia 736 1
seconds 737 24
Riccardo_Ricco 738 2
Danilo_Di_Luca 739 1
Laudrup 740 3
COPENHAGEN 741 1
Danish 742 52
Brian_Laudrup 743 2
26 744 81
Scottish 745 17
Glasgow_Rangers 746 6
Denmark 747 45
Ngotty 748 1
PSG_PARIS 749 1
Paris_Saint_Germain 750 6
Bruno_Ngotty 751 1
Lyon 752 18
La_Repubblica 753 43
Franco_Marini 754 1
Fausto_Bertinotti 755 1
House_of_Deputies 756 7
Marini 757 1
Bertinotti 758 1
Croatia 759 42
Dmitri_Medvedev 760 4
Brazilian 761 94
Luiz_Inacio_Lula_da_Silva 762 18
Honduras 763 27
Manuel_Zelaya 764 19
Zelaya 765 17
Peter_Chen 766 12
Australia 767 159
World_Trade_Organization 768 16
Tim_Fischer 769 1
Fischer 770 22
Finnish 771 43
Gulf 772 46
Finland 773 52
Nokia_Siemens_Networks 774 1
Dubai 775 31
1995 776 45
Yahia_Rihane 777 1
Abdallah_Krounfel 778 1
Algiers 779 10
Rihane 780 2
Rafic_Hariri 781 11
Hariri 782 24
Kiev 783 52
August 784 113
Kuchma 785 36
19 786 66
Tran_Duc_Luong 787 4
Tran 788 1
28 789 66
31 790 46
Ho_Chi_Minh 791 2
1946 792 3
Namibia 793 5
Congo 794 4
Hans_van_Mierlo 795 4
Wim_Kok 796 4
Kok 797 4
CIA 798 23
George_Tenet 799 6
Tenet 800 7
18 801 62
Taliban_Islamic_militia 802 3
Kabul 803 67
Muhammad_Umar 804 1
Umar 805 1
Kandahar 806 8
Pakistan 807 199
Andy_Farrell 808 1
Farrell 809 2
Six_Nations 810 19
weeks 811 134
Former_Great_Britain 812 1
Jason_Robinson 813 1
Soviet_Union 814 27
Soviet 815 35
Interfax_news_agency 816 106
zero 817 3
Viktor_Chernomyrdin 818 36
Viktor_Massol 819 1
Massol 820 1
Gideon_Ben 821 1
1979 822 22
Poland 823 148
miles 824 20
Frankfurt 825 10
Zurich 826 16
Carlos_Salazar 827 2
International_Boxing_Federation 828 4
IBF 829 7
Antonello_Melis 830 1
Salazar 831 3
Harold_Grey 832 2
40 833 33
six 834 133
Melis 835 1
Indonesia 836 90
Philips_NV 837 1
Indonesian 838 76
Lambertus_Snijder 839 1
Antara 840 10
Snijder 841 1
Bandung 842 1
West_Java 843 1
Conrad_Lu 844 1
Singapore 845 67
Lee_Kuan_Yew 846 3
14-21 847 1
21-25 848 1
Hubert_Vedrine 849 5
TOTAL 850 1
International_Advisory_Board 851 1
Lee 852 30
North_Korea 853 178
Wu_Bangguo 854 3
Democratic_People_'s_Republic_of_Korea 855 4
DPRK 856 2
Pyongyang 857 57
Philippe_Sella 858 1
112 859 3
Kerry_Packer 860 1
Packer 861 1
Joschka_Fischer 862 21
Germans 863 10
Sahara 864 2
Abdelaziz_Belkhadem 865 2
Belkhadem 866 2
Abdelaziz_Bouteflika 867 11
Algeria 868 24
Anthony_Zinni 869 7
Tel_Aviv 870 50
Ben_Gurion_airport 871 5
Zinni 872 9
Gerard_Mestrallet 873 1
Gerard_Worms 874 1
Worms 875 1
Mestrallet 876 1
46 877 17
Jacques_Friedmann 878 1
UAP 879 1
Jerome_Monod 880 1
des_Eaux 881 1
1990 882 47
Guillermo_Farinas 883 1
Farinas 884 1
European_Parliament 885 16
Fidel_Ramos 886 9
Nieves_Confesor 887 2
Filipina 888 11
Confesor 889 1
Flor_Contemplacion 890 4
42 891 7
Delia_Maga 892 2
Maga 893 3
black 894 3
black_man 895 2
Peter_Kodwo_Appiah_Turkson 896 1
Ghana 897 12
Turkson 898 1
Roman_Catholic_Church 899 8
Africa 900 54
Pope_Benedict_XVI 901 17
John_Paul_II 902 4
Gordon_Smith 903 1
Scottish_Football_Association 904 2
SFA 905 4
Smith 906 26
Robbie_Winters 907 1
Winters 908 1
Gordon 909 2
East_Stirling 910 1
ThyssenKrupp 911 2
Angela_Merkel 912 70
Great_Hall_of_the_People 913 6
Merkel 914 55
Chinese_Premier_Wen_Jiabao 915 3
Nanjing 916 1
Klaus_Kinkel 917 26
Vladimir_Zhirinovsky 918 4
Kinkel 919 20
Zhirinovsky 920 5
Munich 921 24
Gerhard_Frey 922 1
Frey 923 2
DVU 924 1
Hosni_Mubarak 925 135
Mubarak 926 91
US_Defence 927 19
David_Petraeus 928 10
Dov_Weisglass 929 1
Khaled_Abibi 930 1
National_Audience 931 1
Ansar_al-Islam 932 2
Abibi 933 1
Palestine_Liberation_Organization 934 6
Faruq_Kaddumi 935 2
Kaddumi 936 2
Organization_of_the_Islamic_Conference 937 6
Honduran 938 26
Roberto_Micheletti 939 6
Dieter_Naumann 940 1
Richard_Vincent 941 1
Vincent 942 1
NATO_Council 943 1
Naumann 944 1
1939 945 2
Beirut 946 48
minutes 947 96
Nicolas_Church 948 1
Ashrafiyeh 949 1
Elias_Habre 950 1
Samia 951 1
Abdo_Haddad 952 1
Haddad 953 2
Samia_Habre 954 1
Michel_Murr 955 2
Jack_Straw 956 23
Bonn 957 15
Straw 958 21
Denis_MacShane 959 1
Patrick_Bernardini 960 1
Monte_Carlo 961 3
Armin_Schwarz 962 1
Schwarz 963 3
Bernardini 964 1
Ford_Escort 965 2
Peruvian 966 45
Alberto_Pizango 967 1
Lima 968 21
Nicaragua 969 20
Pizango 970 1
Peru 971 58
5 972 36
34 973 21
Cristina_Gallach 974 2
Fars_news 975 5
20,000 976 10
Cubans 977 12
Red_Sea 978 25
Sharm_al-Sheikh 979 1
148 980 3
Thomas_Klestil 981 7
Vienna 982 27
Klestil 983 9
71 984 9
12 985 83
Viennese 986 1
Christoph_Schoenborn 987 1
North_Korean 988 71
APEC 989 25
Bosnian_Serb 990 35
Michael_McCurry 991 18
McCurry 992 16
Sylvan_Shalom 993 4
Jerusalem_Palestinians 994 1
Shalom 995 7
Bordeaux 996 17
Marc_Planus 997 1
Jean_Tigana 998 2
Tigana 999 2
Planus 1000 1
2010 1001 28
Brest 1002 1
Felipe_Massa 1003 10
Grand_Prix 1004 39
McLaren 1005 20
Lewis_Hamilton 1006 12
Massa 1007 12
Kimi_Raikkonen 1008 6
Fernando_Alonso 1009 12
Hamilton 1010 15
Alonso 1011 13
Raikkonen 1012 4
Pakistani 1013 112
Pervez_Musharraf 1014 70
Musharraf 1015 78
Hamid_Karzai 1016 83
Shaukat_Aziz 1017 3
India 1018 117
Mahesh_Bhupathi 1019 2
Bhupathi 1020 2
Zheng_Jie 1021 4
Katarina_Srebotnik 1022 1
Slovenia 1023 15
Nenad_Zimonjic 1024 1
Serbia 1025 37
Srebotnik 1026 1
Zimonjic 1027 1
Victoria_Azarenka 1028 2
Bob_Bryan 1029 1
Kveta_Peschke 1030 1
Pavel_Vizner 1031 2
Manuel_Rosales 1032 1
Foreign_Affairs 1033 20
Jose_Garcia_Belaunde 1034 1
Rosales 1035 2
Shanghai 1036 37
Xi_Jinping 1037 3
2012 1038 14
Diaoyutai 1039 3
Trevor_Bayliss 1040 1
Sri_Lanka_Cricket 1041 1
Samantha_Algama 1042 1
Bayliss 1043 2
Algama 1044 1
44 1045 12
New_South_Wales 1046 5
Tom_Moody 1047 1
Western_Australia 1048 2
John_Howard 1049 32
Claire_Buchan 1050 1
Andreas_Papandreou 1051 7
Yitzhak_Rabin 1052 71
Papandreou 1053 12
Rabin 1054 44
Georgian 1055 67
Mikheil_Saakashvili 1056 13
Georgia 1057 106
Gordon_Johndroe 1058 34
Fidel_Castro 1059 45
Castro 1060 40
IRNA 1061 39
Manouchehr_Mottaki 1062 17
Israelis 1063 40
Sheikh_Ahmed 1064 10
Yassin 1065 4
Sheikh_Yassin 1066 4
Ezzedine_Al-Qassam_Brigades 1067 1
Earl_Krepp 1068 1
1975 1069 9
Krepp 1070 2
Army_Central_Identification_Laboratory 1071 1
Hawaii 1072 10
61 1073 11
Louis_Harris 1074 2
Igor_Ivanov 1075 43
Ivanov 1076 46
Goh_Chok_Tong 1077 11
S._Jayakumar 1078 2
US_Trade_Representative 1079 14
Robert_Zoellick 1080 4
Zoellick 1081 3
US_administration 1082 17
Sebastiao_Lazaroni 1083 1
Lazaroni 1084 1
Carlos_Alberto_Parreira 1085 2
1994 1086 89
Kyrgyzstan 1087 13
Tajikistan 1088 16
Dick_Cheney 1089 39
2003 1090 49
Cheney 1091 31
Liberian 1092 11
Charles_Taylor 1093 8
Taylor 1094 10
Liberia 1095 7
UN_sanctions_committee 1096 1
Joaquin_Almunia 1097 1
Almunia 1098 3
National_Asset_Management_Agency 1099 1
European_Commission 1100 39
NAMA 1101 1
Giorgio_Napolitano 1102 5
15-18 1103 1
16 1104 85
Steve_Bruce 1105 4
Paraguay 1106 17
Cristian_Riveros 1107 1
Cruz_Azul 1108 1
Riveros 1109 1
Premier_League 1110 24
Paulo_Da_Silva 1111 1
Bruce 1112 3
Cristian 1113 1
Caribbean_island 1114 5
Dominica 1115 2
Michael_Howard 1116 1
Muhammad_Al-Masaari 1117 1
20 1118 128
billion 1119 79
49 1120 17
Howard 1121 26
First_Lady_Laura_Bush 1122 1
Maryland 1123 16
Jenna 1124 1
Jenna_Welch 1125 1
Texas 1126 35
60 1127 31
Walid_Muallem 1128 2
Fawzi_Salloukh 1129 1
Syrian_Arab_Republic 1130 2
FARC 1131 37
Ingrid_Betancourt 1132 16
Alvaro_Uribe 1133 16
Betancourt 1134 12
Fawzi_Barhum 1135 2
Rafah 1136 11
Dalai_Lama 1137 36
CCTV 1138 2
Kremlin_hospital 1139 1
Chernomyrdin 1140 29
Gerry_Adams 1141 9
Sinn_Fein 1142 14
IRA 1143 12
Roman_Catholic 1144 7
Adams 1145 9
Swedish 1146 108
Laila_Freivalds 1147 2
Madrid 1148 57
130 1149 8
Europeans 1150 10
Freivalds 1151 2
Haifa 1152 10
Fred_Eckhard 1153 10
Eckhard 1154 8
Franco_Frattini 1155 15
Frattini 1156 15
Silvan_Shalom 1157 16
Eritrean 1158 1
Isaias_Afwerki 1159 1
Afwerki 1160 1
Petros_Solomon 1161 1
Okbe_Abreha 1162 1
Ezer_Weizman 1163 15
Yemen 1164 23
Eritrea 1165 8
Sanaa 1166 4
US_Federal_Bureau_of_Investigation 1167 4
FBI 1168 14
Scotland_Yard 1169 3
EUPOL 1170 1
Mohammad_Hanif_Atmar 1171 1
Atmar 1172 1
Stephen_Harper 1173 11
Maria_Kaczynka 1174 1
Basilica 1175 3
Krakow 1176 3
David_Cameron 1177 10
10 1178 146
Robert_Gibbs 1179 30
Cameron 1180 10
Oval_Office 1181 28
Rafiq_Hariri 1182 18
Carlo_Azeglio_Ciampi 1183 3
Mahmud_Hammud 1184 1
Bashar_al-Assad 1185 15
AIPAC 1186 4
Adolf_Hitler 1187 5
Heinrich_Himmler 1188 1
Plattling 1189 1
Hitler 1190 3
Himmler 1191 1
Bavarian 1192 7
7,000 1193 4
Group_of_Eight 1194 18
Evian 1195 2
Norway 1196 59
19-20 1197 4
Scandinavian 1198 5
Dmitry_Rurikov 1199 1
Rurikov 1200 2
Scandinavia 1201 1
Incoming_European_Commission 1202 1
Jose_Manuel_Barroso 1203 12
Ingrida_Udre 1204 1
Riga 1205 2
Barroso 1206 14
Latvian 1207 10
Ilona_Lica 1208 1
Yukihiko_Ikeda 1209 15
Ikeda 1210 11
Pavel_Lazarenko 1211 2
Gennady_Udovenko 1212 2
1986 1213 15
Chernobyl 1214 1
Chilean 1215 38
Cali_drug_cartel 1216 3
State_Department 1217 88
Guillermo_Pallomari 1218 1
US_Drug_Enforcement_Agency 1219 1
Pallomari 1220 1
Ernesto_Samper 1221 7
Rory_Underwood 1222 1
Leicester 1223 14
Leon_Lloyd 1224 1
Pau 1225 3
Bob_Dwyer 1226 1
RAF 1227 1
Dwyer 1228 1
Underwood 1229 3
85 1230 10
Indonesian_Democratic_Party 1231 1
PDI 1232 5
Megawati_Sukarnoputri 1233 11
1,500 1234 12
1993-1998 1235 1
Megawati 1236 9
Medan 1237 1
North_Sumatra 1238 1
Three 1239 28
Mandol 1240 1
